gene_id	length	effective_length
Mca23255	279	279
Mca23256	1830	1830
Mca23257	402	402
Mca23258	1425	1425
Mca23259	639	639
Mca23260	750	750
Mca23261	450	450
Mca23262	621	621
Mca23263	2178	2178
Mca04940	966	966
Mca04941	516	516
Mca04942	582	582
Mca04943	579	579
Mca04944	408	408
Mca04945	1443	1443
Mca04946	426	426
Mca23264	606	606
Mca23265	318	318
Mca23266	1161	1161
Mca23267	3462	3462
Mca23268	1737	1737
Mca23269	807	807
Mca23270	1182	1182
Mca23271	1236	1236
Mca04947	717	717
Mca04948	1413	1413
Mca04949	1980	1980
Mca23272	420	420
Mca23273	393	393
Mca23274	279	279
Mca23275	399	399
Mca23276	2823	2823
Mca23277	2169	2169
Mca23278	477	477
Mca04950	642	642
Mca04951	1032	1032
Mca04952	5841	5841
Mca23279	402	402
Mca23280	351	351
Mca23281	705	705
Mca23282	258	258
Mca23283	357	357
Mca23284	450	450
Mca23285	1563	1563
Mca23286	339	339
Mca23287	1290	1290
Mca23288	1224	1224
Mca23289	720	720
Mca23290	1185	1185
Mca23291	927	927
Mca23292	528	528
Mca23293	924	924
Mca04953	942	942
Mca04954	9468	9468
Mca23294	240	240
Mca23295	663	663
Mca23296	699	699
Mca23297	765	765
Mca23298	285	285
Mca23299	333	333
Mca23300	1161	1161
Mca23301	627	627
Mca23302	1434	1434
Mca23303	441	441
Mca23304	291	291
Mca23305	222	222
Mca23306	765	765
Mca23307	1017	1017
Mca23308	585	585
Mca23309	1101	1101
Mca23310	594	594
Mca23311	303	303
Mca23312	1932	1932
Mca23313	300	300
Mca23314	258	258
Mca23315	375	375
Mca23316	417	417
Mca23317	2631	2631
Mca23318	366	366
Mca23319	684	684
Mca23320	318	318
Mca04955	543	543
Mca23321	1866	1866
Mca23322	1158	1158
Mca23323	231	231
Mca23324	738	738
Mca23325	747	747
Mca23326	2382	2382
Mca23327	924	924
Mca23328	306	306
Mca23329	513	513
Mca04956	1377	1377
Mca04957	780	780
Mca04958	870	870
Mca04959	240	240
Mca04960	447	447
Mca00748	2292	2292
Mca00749	327	327
Mca00750	402	402
Mca00751	960	960
Mca23330	3609	3609
Mca23331	261	261
Mca23332	1011	1011
Mca23333	300	300
Mca23334	243	243
Mca23335	315	315
Mca23336	618	618
Mca04961	2007	2007
Mca23337	354	354
Mca23338	279	279
Mca23339	687	687
Mca23340	1002	1002
Mca23341	327	327
Mca23342	2901	2901
Mca23343	285	285
Mca23344	690	690
Mca23345	618	618
Mca23346	207	207
Mca23347	348	348
Mca23348	777	777
Mca23349	543	543
Mca23350	366	366
Mca23351	324	324
Mca23352	1266	1266
Mca04962	345	345
Mca04963	1182	1182
Mca04964	1518	1518
Mca04965	810	810
Mca04966	327	327
Mca04967	789	789
Mca23353	3243	3243
Mca23354	1113	1113
Mca23355	1164	1164
Mca23356	1878	1878
Mca23357	351	351
Mca23358	462	462
Mca23359	963	963
Mca23360	294	294
Mca23361	330	330
Mca23362	522	522
Mca23363	711	711
Mca23364	870	870
Mca23365	1032	1032
Mca23366	1275	1275
Mca23367	1869	1869
Mca23368	282	282
Mca04968	774	774
Mca04969	630	630
Mca04970	426	426
Mca04971	333	333
Mca04972	465	465
Mca04973	807	807
Mca04974	345	345
Mca04975	1695	1695
Mca23369	411	411
Mca23370	306	306
Mca23371	309	309
Mca23372	540	540
Mca23373	366	366
Mca23374	852	852
Mca23375	1194	1194
Mca23376	909	909
Mca23377	996	996
Mca23378	648	648
Mca04976	546	546
Mca04977	291	291
Mca04978	456	456
Mca23379	702	702
Mca23380	693	693
Mca23381	948	948
Mca23382	450	450
Mca23383	858	858
Mca23384	1311	1311
Mca23385	2112	2112
Mca23386	783	783
Mca23387	627	627
Mca23388	2193	2193
Mca23389	552	552
Mca23390	243	243
Mca23391	843	843
Mca23392	2085	2085
Mca23393	498	498
Mca23394	498	498
Mca23395	456	456
Mca23396	2688	2688
Mca04979	1608	1608
Mca04980	339	339
Mca04981	321	321
Mca04982	6774	6774
Mca23397	843	843
Mca23398	540	540
Mca23399	519	519
Mca23400	534	534
Mca23401	648	648
Mca23402	615	615
Mca23403	1413	1413
Mca23404	537	537
Mca23405	1470	1470
Mca23406	411	411
Mca23407	1194	1194
Mca23408	1659	1659
Mca23409	387	387
Mca23410	366	366
Mca23411	618	618
Mca23412	651	651
Mca23413	1491	1491
Mca23414	1608	1608
Mca23415	2451	2451
Mca23416	291	291
Mca23417	396	396
Mca23418	1092	1092
Mca23419	543	543
Mca23420	462	462
Mca23421	756	756
Mca23422	414	414
Mca23423	306	306
Mca04983	381	381
Mca04984	825	825
Mca04985	1026	1026
Mca04986	219	219
Mca23424	306	306
Mca23425	2427	2427
Mca23426	1386	1386
Mca23427	462	462
Mca23428	318	318
Mca23429	1437	1437
Mca23430	312	312
Mca23431	270	270
Mca23432	2157	2157
Mca23433	1023	1023
Mca23434	324	324
Mca04987	729	729
Mca04988	954	954
Mca04989	612	612
Mca04990	2526	2526
Mca04991	345	345
Mca04992	1173	1173
Mca04993	420	420
Mca23435	369	369
Mca23436	477	477
Mca23437	300	300
Mca23438	1755	1755
Mca23439	939	939
Mca23440	384	384
Mca23441	1176	1176
Mca23442	303	303
Mca23443	387	387
Mca23444	321	321
Mca23445	651	651
Mca23446	951	951
Mca04994	360	360
Mca04995	291	291
Mca04996	1623	1623
Mca04997	630	630
Mca23447	2022	2022
Mca23448	369	369
Mca23449	393	393
Mca23450	330	330
Mca23451	477	477
Mca23452	291	291
Mca23453	717	717
Mca23454	384	384
Mca23455	837	837
Mca23456	1098	1098
Mca23457	423	423
Mca23458	309	309
Mca23459	264	264
Mca23460	891	891
Mca23461	1566	1566
Mca23462	1566	1566
Mca23463	1728	1728
Mca23464	279	279
Mca23465	312	312
Mca23466	339	339
Mca23467	447	447
Mca04998	411	411
Mca04999	438	438
Mca00752	375	375
Mca23468	828	828
Mca23469	567	567
Mca23470	1977	1977
Mca23471	336	336
Mca23472	867	867
Mca23473	282	282
Mca23474	270	270
Mca23475	690	690
Mca23476	627	627
Mca23477	531	531
Mca23478	420	420
Mca23479	1884	1884
Mca23480	246	246
Mca23481	1197	1197
Mca23482	843	843
Mca23483	504	504
Mca23484	876	876
Mca23485	630	630
Mca23486	1032	1032
Mca23487	480	480
Mca23488	279	279
Mca23489	474	474
Mca23490	1374	1374
Mca23491	531	531
Mca23492	273	273
Mca23493	291	291
Mca23494	729	729
Mca05000	1674	1674
Mca05001	1368	1368
Mca05002	1008	1008
Mca23495	2682	2682
Mca23496	474	474
Mca23497	342	342
Mca23498	663	663
Mca23499	933	933
